0
MaxEStateIndex
HeavyAtomMolWt
ExactMolWt
NumValenceElectrons
MinAbsPartialCharge
Chi0
Chi0n
Chi0v
Chi1
Chi1n
Chi1v
Chi2v
Chi3n
Chi3v
Chi4n
Chi4v
Kappa1
Kappa2
LabuteASA
SlogP_VSA6
HeavyAtomCount
NumHAcceptors
NumHDonors
MolMR
fr_Al_OH_noTert
fr_COO
fr_COO2
fr_C_O_noCOO
fr_Nhpyrrole
fr_benzene
fr_nitro_arom_nonortho
fr_phenol
fr_phenol_noOrthoHbond
